CO_CURSO,NO_CURSO
112104,COMUNICACAO SOCIAL   JORNALISMO
112106,ADMINISTRACAO
112108,ZOOTECNIA
112118,CIENCIAS AGRARIAS
112126,ARTES VISUAIS
112290,FISIOTERAPIA
116832,DESIGN
118408,ENGENHARIA ELETRICA   TELECOMUNICACÕES
118410,ENGENHARIA ELETRICA   ELETROTECNICA
118412,ENGENHARIA ELETRICA   ELETRONICA
122002,EDUCACAO FISICA
122628,ENGENHARIA MECANICA
122630,ENGENHARIA DE MATERIAIS
122632,BIOTECNOLOGIA
122634,SISTEMA DE INFORMACAO
122636,ARQUIVOLOGIA
122640,ARQUITETURA E URBANISMO
122642,ENGENHARIA DE PETROLEO E GAS
122644,ENGENHARIA QUIMICA
300379,MATEMATICA
300403,GEOGRAFIA
1103469,ARTES VISUAIS
1104306,ADMINISTRACAO
1106983,QUIMICA
1106984,FISICA
1110779,CIENCIAS BIOLOGICAS
1114583,CIENCIAS AGRARIAS E DO AMBIENTE
1128322,LETRAS   LINGUA E LITERATURA JAPONESA
1135085,ADMINISTRACAO UNIVERSITARIA
1158678,ENGENHARIA DE SOFTWARE
1167036,ENGENHARIA DE ALIMENTOS
1167330,AGRONOMIA
1171749,ENGENHARIA SANITARIA
1179494,FORMACAO DE PROFESSORES INDIGENAS
1183006,ADMINISTRACAO PUBLICA
1202516,LICENCIATURA INDIGENA POLITICAS EDUCACIONAIS E DESENVOLVIMENTO SUSTENTAVEL
1270121,LETRAS   LIBRAS
5000500,MATEMATICA APLICADA
5001406,MEDICINA
484,MEDICINA
485,ODONTOLOGIA
486,ENFERMAGEM
487,EDUCACAO FISICA
488,NUTRICAO
490,CIENCIAS CONTABEIS
491,DIREITO
492,CIENCIAS ECONOMICAS
494,HISTORIA
495,GEOGRAFIA
496,FILOSOFIA
497,SERVICO SOCIAL
498,CIENCIAS SOCIAIS
499,ENGENHARIA CARTOGRAFICA E DE AGRIMENSURA
500,ADMINISTRACAO
501,CIENCIAS CONTABEIS
502,CIENCIAS ECONOMICAS
504,MEDICINA VETERINARIA
508,ENGENHARIA AGRONOMICA
512,ENGENHARIA CIVIL
513,CIENCIA DA COMPUTACAO
516,FARMACIA
517,ARQUITETURA E URBANISMO
518,FISICA
519,QUIMICA
520,MATEMATICA
525,CIENCIAS BIOLOGICAS
18373,ADMINISTRACAO
22128,LETRAS   PORTUGUES E FRANCES
22129,JORNALISMO
22877,EDUCACAO ARTISTICA
32832,LETRAS   LINGUA PORTUGUESA
33221,PEDAGOGIA
56030,LETRAS   INGLES
73192,PEDAGOGIA
94086,LETRAS   PORTUGUES
99714,CIENCIAS BIOLOGICAS
99718,ENGENHARIA FLORESTAL
99722,ZOOTECNIA
99728,CIENCIAS BIOLOGICAS
99738,ENGENHARIA DE PESCA
99860,CIENCIAS BIOLOGICAS
99864,ENFERMAGEM
99870,ADMINISTRACAO
99916,ENGENHARIA AGRONOMICA
99921,TURISMO
102530,PSICOLOGIA
102564,FISIOTERAPIA
102566,BIOMEDICINA
102576,MATEMATICA
102580,NUTRICAO
102588,MATEMATICA
102590,SISTEMAS DE INFORMACAO
102675,MEDICINA VETERINARIA
104018,HISTORIA
104156,PEDAGOGIA
104726,PEDAGOGIA
108006,ADMINISTRACAO
108660,SISTEMAS DE INFORMACAO
109356,MATEMATICA
109358,FISICA
109386,QUIMICA
109390,CIENCIAS BIOLOGICAS
109394,FILOSOFIA
112454,ARQUEOLOGIA
116402,ESTATISTICA
116404,MODA
116406,ENGENHARIA DE PRODUCAO
116408,ENGENHARIA ELETRICA
116410,ENGENHARIA MECANICA
116632,ENFERMAGEM
116638,CIENCIAS BIOLOGICAS
116640,ADMINISTRACAO
116642,PEDAGOGIA
123498,ADMINISTRACAO PUBLICA
300518,FISICA
300520,MATEMATICA
1105124,MUSICA
1105133,ARTES VISUAIS
1105789,CIENCIAS BIOLOGICAS
1105815,CIENCIAS SOCIAIS
1105825,HISTORIA
1105828,QUIMICA
1105897,CIENCIAS BIOLOGICAS
1154629,CIENCIA POLITICA
1178392,ENGENHARIA DE MATERIAIS
1186923,LETRAS   INGLES
1188908,CIENCIAS DA NATUREZA
1202553,MEDICINA
1270463,LETRAS   PORTUGUES
1270583,LETRAS   LIBRAS
1270584,EDUCACAO DO CAMPO   CIENCIAS DA NATUREZA
1270592,EDUCACAO DO CAMPO   CIENCIAS DA NATUREZA
1270636,EDUCACAO DO CAMPO   CIENCIAS DA NATUREZA
1270649,EDUCACAO DO CAMPO   CIENCIAS DA NATUREZA
1305529,HISTORIA
1305536,CIENCIAS DA NATUREZA
1305546,GEOGRAFIA
1305552,COMPUTACAO E INFORMATICA
1342610,MEDICINA
586,ENGENHARIA CIVIL
587,ENGENHARIA DE MINAS
588,ENGENHARIA GEOLOGICA
589,ENGENHARIA METALURGICA
590,FARMACIA
591,NUTRICAO
592,HISTORIA
593,LETRAS
594,CIENCIA DA COMPUTACAO
595,FILOSOFIA
596,DIREITO
18875,ENGENHARIA DE PRODUCAO
18876,CIENCIAS BIOLOGICAS
18877,MATEMATICA
21157,ARTES CENICAS
21158,MUSICA
21159,QUIMICA INDUSTRIAL
21160,FISICA
41612,ARTES CENICAS
41622,TURISMO
41624,ENGENHARIA AMBIENTAL
41626,ENGENHARIA DE CONTROLE E AUTOMACAO
61560,ENGENHARIA DE PRODUCAO
80779,SISTEMAS DE INFORMACAO
103596,MEDICINA
111502,ADMINISTRACAO PUBLICA
111504,PEDAGOGIA
111506,MATEMATICA
112592,QUIMICA
112594,ADMINISTRACAO
112596,ARQUITETURA E URBANISMO
112598,JORNALISMO
112600,EDUCACAO FISICA
112602,ESTATISTICA
112604,MUSEOLOGIA
112606,PEDAGOGIA
121650,CIENCIA E TECNOLOGIA DE ALIMENTOS
121665,ENGENHARIA MECANICA
121669,SERVICO SOCIAL
121677,CIENCIAS ECONOMICAS
121679,ENGENHARIA DE COMPUTACAO
121681,ENGENHARIA ELETRICA
300592,HISTORIA
300593,LETRAS
300595,FILOSOFIA
318876,CIENCIAS BIOLOGICAS
318877,MATEMATICA
1083188,EDUCACAO FISICA
1168454,FISICA
1177731,GEOGRAFIA
1404130,ENGENHARIA URBANA
614,CIENCIA DA COMPUTACAO
615,ENGENHARIA CIVIL
616,ENGENHARIA DE MATERIAIS
619,ENGENHARIA QUIMICA
621,CIENCIAS BIOLOGICAS
622,ESTATISTICA
623,FISICA
624,MATEMATICA
626,ENFERMAGEM
627,FISIOTERAPIA
628,TERAPIA OCUPACIONAL
630,CIENCIAS SOCIAIS
631,ENGENHARIA DE COMPUTACAO
632,ENGENHARIA AGRONOMICA
634,BIBLIOTECONOMIA E CIENCIA DA INFORMACAO
635,EDUCACAO FISICA
637,MATEMATICA
639,IMAGEM E SOM
29672,LETRAS   ESPANHOL
31302,LETRAS   INGLES
45108,ENGENHARIA FISICA
45111,QUIMICA
81283,MUSICA
87564,ENGENHARIA DE PRODUCAO
90091,MEDICINA
96401,CIENCIAS BIOLOGICAS
96403,CIENCIAS BIOLOGICAS
96405,TURISMO
96407,ENGENHARIA DE PRODUCAO
96436,ENGENHARIA FLORESTAL
96779,BIOTECNOLOGIA
99189,FILOSOFIA
108016,SISTEMAS DE INFORMACAO
109341,PRODUCAO SUCROALCOOLEIRA
109343,EDUCACAO MUSICAL
109353,PEDAGOGIA
109378,ENGENHARIA AMBIENTAL
109478,PSICOLOGIA
112622,PEDAGOGIA DA TERRA
112676,CIENCIAS ECONOMICAS
112680,CIENCIA DA COMPUTACAO
115070,FISICA
115074,EDUCACAO ESPECIAL
115076,PEDAGOGIA
115078,CIENCIAS BIOLOGICAS
115080,GEOGRAFIA
115082,LINGUISTICA
115084,ADMINISTRACAO
115086,MATEMATICA
115088,FISICA
115092,QUIMICA
115096,CIENCIAS BIOLOGICAS
115098,QUIMICA
115100,FISICA
115102,AGROECOLOGIA
115104,BIOTECNOLOGIA
115106,ENGENHARIA MECANICA
115108,GESTAO E ANALISE AMBIENTAL
115110,ENGENHARIA ELETRICA
115112,GERONTOLOGIA
115558,PEDAGOGIA
300621,CIENCIAS BIOLOGICAS
300623,FISICA
300624,MATEMATICA
300625,QUIMICA
300635,EDUCACAO FISICA
300637,MATEMATICA
399189,FILOSOFIA
1270499,ENGENHARIA DE ALIMENTOS
1270501,ENGENHARIA AMBIENTAL
1270505,ENGENHARIA AGRONOMICA
1305952,TRADUCAO E INTERPRETACAO EM LINGUA BRASILEIRA DE SINAIS   LIBRAS/LINGUA PORTUGUESA
1322704,CIENCIAS BIOLOGICAS
1322751,ADMINISTRACAO
5000589,ABI   MATEMATICA
5000590,ABI   FILOSOFIA
5000663,ABI   MATEMATICA
5000889,ABI   FISICA
682,ENGENHARIA DE AGRIMENSURA E CARTOGRAFICA
683,ADMINISTRACAO
684,CIENCIAS BIOLOGICAS
685,AGRONOMIA
686,CIENCIAS ECONOMICAS
687,EDUCACAO FISICA
